date,site_code,line_code,product_code,units_ok,units_rework,scrap_units,takt_time_s,oee
2025-06-21,SC01,L1,FRDG-A,177,1,3,41.81,0.81
2025-06-22,SC01,L1,FRDG-A,142,0,5,22.48,0.638
2025-06-23,SC01,L1,FRDG-A,208,0,3,24.36,0.801
2025-06-24,SC01,L1,FRDG-A,244,1,5,45.98,0.847
2025-06-25,SC01,L1,FRDG-A,250,3,5,39.45,0.713
2025-06-26,SC01,L1,FRDG-A,233,1,5,29.29,0.737
2025-06-27,SC01,L1,FRDG-A,188,2,3,44.15,0.792
2025-06-28,SC01,L1,FRDG-A,133,0,2,39.19,0.755
2025-06-29,SC01,L1,FRDG-A,124,1,7,38.46,0.672
2025-06-30,SC01,L1,FRDG-A,254,0,4,52.31,0.807
2025-04-01,SC01,L1,FRDG-B,182,0,5,36.29,0.703
2025-04-02,SC01,L1,FRDG-B,220,2,3,42.1,0.822
2025-04-03,SC01,L1,FRDG-B,186,2,8,32.98,0.734
2025-04-04,SC01,L1,FRDG-B,223,1,9,48.38,0.655
2025-04-05,SC01,L1,FRDG-B,174,0,4,30.32,0.682
2025-04-06,SC01,L1,FRDG-B,105,2,3,24.97,0.667
2025-04-07,SC01,L1,FRDG-B,205,1,1,27.25,0.85
2025-04-08,SC01,L1,FRDG-B,214,1,3,30.06,0.893
2025-04-09,SC01,L1,FRDG-B,193,0,5,44.21,0.83
2025-04-10,SC01,L1,FRDG-B,212,2,1,27.93,0.806
2025-04-11,SC01,L1,FRDG-B,197,0,1,23.29,0.917
2025-04-12,SC01,L1,FRDG-B,136,0,8,40.43,0.595
2025-04-13,SC01,L1,FRDG-B,172,1,1,25.37,0.648
2025-04-14,SC01,L1,FRDG-B,173,1,2,47.63,0.924
2025-04-15,SC01,L1,FRDG-B,186,1,8,26.26,0.798
2025-04-16,SC01,L1,FRDG-B,209,3,7,39.53,0.8
2025-04-17,SC01,L1,FRDG-B,225,3,5,49.88,0.794
2025-04-18,SC01,L1,FRDG-B,210,1,4,20.36,0.961
2025-04-19,SC01,L1,FRDG-B,198,1,1,26.52,0.738
2025-04-20,SC01,L1,FRDG-B,122,1,3,50.51,0.725
2025-04-21,SC01,L1,FRDG-B,243,0,6,36.69,0.761
2025-04-22,SC01,L1,FRDG-B,212,2,2,41.95,0.748
2025-04-23,SC01,L1,FRDG-B,210,0,7,28.8,0.814
2025-04-24,SC01,L1,FRDG-B,195,1,4,42.16,0.794
2025-04-25,SC01,L1,FRDG-B,187,2,3,39.69,0.932
2025-04-26,SC01,L1,FRDG-B,156,0,6,35.51,0.684
2025-04-27,SC01,L1,FRDG-B,167,1,3,27.8,0.704
2025-04-28,SC01,L1,FRDG-B,199,1,8,43.76,0.879
2025-04-29,SC01,L1,FRDG-B,189,1,7,41.46,0.764
2025-04-30,SC01,L1,FRDG-B,206,1,3,39.15,0.668
2025-05-01,SC01,L1,FRDG-B,171,0,3,42.37,0.798
2025-05-02,SC01,L1,FRDG-B,199,0,5,36.97,0.814
2025-05-03,SC01,L1,FRDG-B,167,1,10,58.13,0.748
2025-05-04,SC01,L1,FRDG-B,163,0,5,30.85,0.747
2025-05-05,SC01,L1,FRDG-B,223,0,0,22.62,0.734
2025-05-06,SC01,L1,FRDG-B,230,0,3,45.52,0.678
2025-05-07,SC01,L1,FRDG-B,242,1,7,48.14,0.823
2025-05-08,SC01,L1,FRDG-B,192,0,3,34.4,0.798
2025-05-09,SC01,L1,FRDG-B,214,0,2,34.57,0.786
2025-05-10,SC01,L1,FRDG-B,126,2,4,31.89,0.678
2025-05-11,SC01,L1,FRDG-B,126,2,4,29.75,0.67
2025-05-12,SC01,L1,FRDG-B,189,0,5,54.33,0.895
2025-05-13,SC01,L1,FRDG-B,187,1,6,43.48,0.843
2025-05-14,SC01,L1,FRDG-B,213,0,6,36.91,0.808
2025-05-15,SC01,L1,FRDG-B,218,0,3,55.46,0.772
2025-05-16,SC01,L1,FRDG-B,204,0,5,45.85,0.916
2025-05-17,SC01,L1,FRDG-B,180,1,4,22.83,0.748
2025-05-18,SC01,L1,FRDG-B,164,0,1,34.53,0.724
2025-05-19,SC01,L1,FRDG-B,216,2,4,45.28,0.826
2025-05-20,SC01,L1,FRDG-B,214,0,2,34.61,0.865
2025-05-21,SC01,L1,FRDG-B,215,0,2,42.08,0.887
2025-05-22,SC01,L1,FRDG-B,194,3,9,55.23,0.687
2025-05-23,SC01,L1,FRDG-B,233,0,3,26.03,0.836
2025-05-24,SC01,L1,FRDG-B,124,1,4,27.06,0.646
2025-05-25,SC01,L1,FRDG-B,180,0,2,38.25,0.704
2025-05-26,SC01,L1,FRDG-B,196,1,7,23.5,0.776
2025-05-27,SC01,L1,FRDG-B,231,0,0,49.41,0.817
2025-05-28,SC01,L1,FRDG-B,192,0,3,42.63,0.776
2025-05-29,SC01,L1,FRDG-B,228,2,11,56.91,0.874
2025-05-30,SC01,L1,FRDG-B,212,2,5,32.01,0.838
2025-05-31,SC01,L1,FRDG-B,147,0,4,52.44,0.709
2025-06-01,SC01,L1,FRDG-B,164,2,5,45.74,0.718
2025-06-02,SC01,L1,FRDG-B,191,0,3,27.64,0.89
2025-06-03,SC01,L1,FRDG-B,208,2,3,49.07,0.797
2025-06-04,SC01,L1,FRDG-B,222,2,9,38.35,0.697
2025-06-05,SC01,L1,FRDG-B,208,0,3,23.49,0.864
2025-06-06,SC01,L1,FRDG-B,183,0,7,37.14,0.797
2025-06-07,SC01,L1,FRDG-B,132,0,3,27.81,0.729
2025-06-08,SC01,L1,FRDG-B,138,0,8,30.96,0.762
2025-06-09,SC01,L1,FRDG-B,234,3,5,44.0,0.814
2025-06-10,SC01,L1,FRDG-B,215,2,3,52.67,0.804
2025-06-11,SC01,L1,FRDG-B,263,2,10,33.0,0.903
2025-06-12,SC01,L1,FRDG-B,183,1,2,46.39,0.733
2025-06-13,SC01,L1,FRDG-B,216,2,6,33.89,0.869
2025-06-14,SC01,L1,FRDG-B,178,2,5,38.42,0.605
2025-06-15,SC01,L1,FRDG-B,138,2,5,57.85,0.722
2025-06-16,SC01,L1,FRDG-B,233,3,5,38.2,0.812
2025-06-17,SC01,L1,FRDG-B,185,2,2,55.68,0.777
2025-06-18,SC01,L1,FRDG-B,240,1,2,49.94,0.802
2025-06-19,SC01,L1,FRDG-B,205,2,3,44.78,0.832
2025-06-20,SC01,L1,FRDG-B,209,0,3,45.08,0.846
2025-06-21,SC01,L1,FRDG-B,120,0,5,43.09,0.727
2025-06-22,SC01,L1,FRDG-B,146,0,1,29.03,0.667
2025-06-23,SC01,L1,FRDG-B,227,0,3,34.07,0.876
2025-06-24,SC01,L1,FRDG-B,214,3,4,46.05,0.735
2025-06-25,SC01,L1,FRDG-B,240,2,8,31.53,0.692
2025-06-26,SC01,L1,FRDG-B,203,0,5,31.07,0.803
2025-06-27,SC01,L1,FRDG-B,182,1,6,31.17,0.733
2025-06-28,SC01,L1,FRDG-B,133,1,6,45.31,0.629
2025-06-29,SC01,L1,FRDG-B,127,1,5,41.51,0.657
2025-06-30,SC01,L1,FRDG-B,217,1,4,56.88,0.857
2025-04-01,SC01,L1,WASH-A,173,1,1,30.89,0.839
2025-04-02,SC01,L1,WASH-A,196,2,3,59.94,0.847
2025-04-03,SC01,L1,WASH-A,188,0,1,31.54,0.885
2025-04-04,SC01,L1,WASH-A,201,1,2,42.72,0.939
2025-04-05,SC01,L1,WASH-A,109,0,4,56.23,0.694
2025-04-06,SC01,L1,WASH-A,113,1,4,57.51,0.759
2025-04-07,SC01,L1,WASH-A,172,0,4,59.07,0.784
2025-04-08,SC01,L1,WASH-A,214,2,5,58.59,0.892
2025-04-09,SC01,L1,WASH-A,190,0,5,50.14,0.814
2025-04-10,SC01,L1,WASH-A,185,1,4,35.56,0.796
2025-04-11,SC01,L1,WASH-A,211,2,2,23.13,0.682
2025-04-12,SC01,L1,WASH-A,144,0,5,58.6,0.746
2025-04-13,SC01,L1,WASH-A,158,0,7,25.01,0.693
2025-04-14,SC01,L1,WASH-A,170,2,3,46.93,0.973
2025-04-15,SC01,L1,WASH-A,154,2,5,33.5,0.78
2025-04-16,SC01,L1,WASH-A,168,0,3,36.54,0.821
2025-04-17,SC01,L1,WASH-A,167,0,6,23.6,0.894
2025-04-18,SC01,L1,WASH-A,203,0,1,58.49,0.75
2025-04-19,SC01,L1,WASH-A,109,1,1,27.72,0.758
2025-04-20,SC01,L1,WASH-A,136,0,2,51.69,0.694
2025-04-21,SC01,L1,WASH-A,159,1,6,36.4,0.847
2025-04-22,SC01,L1,WASH-A,206,1,2,56.27,0.827
2025-04-23,SC01,L1,WASH-A,175,0,3,28.88,0.862
2025-04-24,SC01,L1,WASH-A,175,1,3,46.79,0.92
2025-04-25,SC01,L1,WASH-A,178,1,6,36.03,0.82
2025-04-26,SC01,L1,WASH-A,136,0,4,50.07,0.675
2025-04-27,SC01,L1,WASH-A,100,0,8,36.55,0.787
2025-04-28,SC01,L1,WASH-A,191,0,4,55.72,0.806
2025-04-29,SC01,L1,WASH-A,182,0,4,36.74,0.79
2025-04-30,SC01,L1,WASH-A,176,2,3,26.48,0.853
2025-05-01,SC01,L1,WASH-A,160,1,5,23.71,0.842
2025-05-02,SC01,L1,WASH-A,126,2,0,25.75,0.979
2025-05-03,SC01,L1,WASH-A,125,0,1,30.7,0.807
2025-05-04,SC01,L1,WASH-A,134,1,7,47.01,0.684
2025-05-05,SC01,L1,WASH-A,143,0,6,39.15,0.9
2025-05-06,SC01,L1,WASH-A,187,2,6,60.0,0.726
2025-05-07,SC01,L1,WASH-A,199,2,3,58.05,0.978
2025-05-08,SC01,L1,WASH-A,184,0,6,35.73,0.713
2025-05-09,SC01,L1,WASH-A,170,0,3,35.01,0.896
2025-05-10,SC01,L1,WASH-A,91,0,5,40.29,0.747
2025-05-11,SC01,L1,WASH-A,144,2,1,21.18,0.642
2025-05-12,SC01,L1,WASH-A,156,0,6,26.46,0.784
2025-05-13,SC01,L1,WASH-A,173,1,3,50.94,0.828
2025-05-14,SC01,L1,WASH-A,161,0,4,25.49,0.816
2025-05-15,SC01,L1,WASH-A,197,2,5,50.86,0.748
2025-05-16,SC01,L1,WASH-A,193,1,4,24.16,0.817
2025-05-17,SC01,L1,WASH-A,111,1,3,56.0,0.716
2025-05-18,SC01,L1,WASH-A,129,2,3,41.7,0.709
2025-05-19,SC01,L1,WASH-A,214,2,5,57.54,0.783
2025-05-20,SC01,L1,WASH-A,179,2,7,52.92,0.838
2025-05-21,SC01,L1,WASH-A,208,1,3,37.45,0.792
2025-05-22,SC01,L1,WASH-A,167,0,5,39.95,0.887
2025-05-23,SC01,L1,WASH-A,177,0,4,47.41,0.821
2025-05-24,SC01,L1,WASH-A,115,0,3,28.52,0.731
2025-05-25,SC01,L1,WASH-A,100,1,5,40.19,0.758
2025-05-26,SC01,L1,WASH-A,158,1,8,20.35,0.843
2025-05-27,SC01,L1,WASH-A,194,0,1,56.37,0.845
2025-05-28,SC01,L1,WASH-A,168,1,4,21.71,0.74
2025-05-29,SC01,L1,WASH-A,215,1,2,25.32,0.824
2025-05-30,SC01,L1,WASH-A,189,0,4,32.05,0.764
2025-05-31,SC01,L1,WASH-A,122,0,0,53.96,0.705
2025-06-01,SC01,L1,WASH-A,114,0,1,31.82,0.843
2025-06-02,SC01,L1,WASH-A,192,1,2,31.84,0.79
2025-06-03,SC01,L1,WASH-A,190,0,1,27.65,0.708
2025-06-04,SC01,L1,WASH-A,208,1,3,26.98,0.933
2025-06-05,SC01,L1,WASH-A,167,1,1,47.91,0.803
2025-06-06,SC01,L1,WASH-A,168,1,2,34.02,0.812
2025-06-07,SC01,L1,WASH-A,132,1,3,40.26,0.741
2025-06-08,SC01,L1,WASH-A,113,0,4,37.96,0.765
2025-06-09,SC01,L1,WASH-A,163,0,1,59.07,0.708
2025-06-10,SC01,L1,WASH-A,190,2,4,44.69,0.74
2025-06-11,SC01,L1,WASH-A,179,0,2,34.21,0.82
2025-06-12,SC01,L1,WASH-A,165,1,5,46.01,0.856
2025-06-13,SC01,L1,WASH-A,155,1,6,23.97,0.773
2025-06-14,SC01,L1,WASH-A,127,1,3,34.84,0.662
2025-06-15,SC01,L1,WASH-A,117,0,6,25.86,0.624
2025-06-16,SC01,L1,WASH-A,175,1,3,56.61,0.879
2025-06-17,SC01,L1,WASH-A,194,0,6,43.43,0.807
2025-06-18,SC01,L1,WASH-A,177,3,8,49.93,0.825
2025-06-19,SC01,L1,WASH-A,195,0,4,43.02,0.739
2025-06-20,SC01,L1,WASH-A,177,1,4,25.2,0.883
2025-06-21,SC01,L1,WASH-A,94,0,6,48.39,0.778
2025-06-22,SC01,L1,WASH-A,106,1,1,22.59,0.665
2025-06-23,SC01,L1,WASH-A,169,0,4,45.43,0.823
2025-06-24,SC01,L1,WASH-A,184,0,2,43.53,0.772
2025-06-25,SC01,L1,WASH-A,174,1,1,55.2,0.775
2025-06-26,SC01,L1,WASH-A,157,2,4,30.37,0.654
2025-06-27,SC01,L1,WASH-A,218,1,5,32.5,0.834
2025-06-28,SC01,L1,WASH-A,127,1,4,41.99,0.555
2025-06-29,SC01,L1,WASH-A,130,0,6,27.66,0.652
2025-06-30,SC01,L1,WASH-A,162,1,7,42.31,0.798
2025-04-01,SC01,L1,WASH-B,225,1,7,50.27,0.832
2025-04-02,SC01,L1,WASH-B,215,1,5,33.18,0.774
2025-04-03,SC01,L1,WASH-B,175,1,4,28.92,0.746
2025-04-04,SC01,L1,WASH-B,154,1,6,26.52,0.854
2025-04-05,SC01,L1,WASH-B,112,0,0,49.03,0.682
2025-04-06,SC01,L1,WASH-B,134,1,4,36.57,0.707
2025-04-07,SC01,L1,WASH-B,178,2,4,20.34,0.756
2025-04-08,SC01,L1,WASH-B,184,0,5,56.57,0.844
2025-04-09,SC01,L1,WASH-B,165,0,4,52.85,0.88
2025-04-10,SC01,L1,WASH-B,190,1,5,52.71,0.832
2025-04-11,SC01,L1,WASH-B,220,3,2,22.35,0.893
2025-04-12,SC01,L1,WASH-B,138,0,2,34.32,0.692
2025-04-13,SC01,L1,WASH-B,92,2,3,32.35,0.694
2025-04-14,SC01,L1,WASH-B,184,1,4,47.13,0.775
2025-04-15,SC01,L1,WASH-B,201,1,3,56.05,0.849
2025-04-16,SC01,L1,WASH-B,172,0,9,27.58,0.766
2025-04-17,SC01,L1,WASH-B,170,0,4,59.23,0.756
2025-04-18,SC01,L1,WASH-B,172,0,1,39.43,0.895
2025-04-19,SC01,L1,WASH-B,109,1,2,49.62,0.74
2025-04-20,SC01,L1,WASH-B,162,0,5,55.68,0.717
2025-04-21,SC01,L1,WASH-B,189,0,4,22.64,0.758
2025-04-22,SC01,L1,WASH-B,227,0,3,52.14,0.755
2025-04-23,SC01,L1,WASH-B,217,1,4,51.86,0.897
2025-04-24,SC01,L1,WASH-B,203,1,0,33.02,0.876
2025-04-25,SC01,L1,WASH-B,166,1,2,54.65,0.825
2025-04-26,SC01,L1,WASH-B,106,1,3,23.14,0.649
2025-04-27,SC01,L1,WASH-B,121,2,2,22.68,0.764
2025-04-28,SC01,L1,WASH-B,218,2,2,31.96,0.845
2025-04-29,SC01,L1,WASH-B,203,1,1,22.72,0.83
2025-04-30,SC01,L1,WASH-B,190,1,9,27.47,0.75
2025-05-01,SC01,L1,WASH-B,242,1,1,56.1,0.73
2025-05-02,SC01,L1,WASH-B,193,0,3,30.07,0.897
2025-05-03,SC01,L1,WASH-B,143,2,5,34.02,0.735
2025-05-04,SC01,L1,WASH-B,76,2,4,38.62,0.644
2025-05-05,SC01,L1,WASH-B,197,0,5,47.56,0.766
2025-05-06,SC01,L1,WASH-B,198,1,1,36.6,0.813
2025-05-07,SC01,L1,WASH-B,198,2,3,57.1,0.82
2025-05-08,SC01,L1,WASH-B,182,2,1,30.86,0.819
2025-05-09,SC01,L1,WASH-B,202,2,2,51.58,0.791
2025-05-10,SC01,L1,WASH-B,156,1,5,44.18,0.617
2025-05-11,SC01,L1,WASH-B,150,1,3,29.7,0.688
2025-05-12,SC01,L1,WASH-B,197,2,1,32.85,0.861
2025-05-13,SC01,L1,WASH-B,200,0,2,50.42,0.799
2025-05-14,SC01,L1,WASH-B,172,0,5,55.29,0.787
2025-05-15,SC01,L1,WASH-B,172,1,5,29.82,0.848
2025-05-16,SC01,L1,WASH-B,158,0,9,27.63,0.784
2025-05-17,SC01,L1,WASH-B,123,2,5,41.49,0.634
2025-05-18,SC01,L1,WASH-B,143,2,2,20.91,0.855
2025-05-19,SC01,L1,WASH-B,206,0,2,47.96,0.689
2025-05-20,SC01,L1,WASH-B,208,1,7,22.17,0.785
2025-05-21,SC01,L1,WASH-B,179,0,4,46.55,0.695
2025-05-22,SC01,L1,WASH-B,160,1,4,54.07,0.985
2025-05-23,SC01,L1,WASH-B,186,3,8,42.68,0.772
2025-05-24,SC01,L1,WASH-B,126,1,5,25.88,0.807
2025-05-25,SC01,L1,WASH-B,146,0,3,50.97,0.871
2025-05-26,SC01,L1,WASH-B,181,1,3,45.4,0.758
2025-05-27,SC01,L1,WASH-B,151,1,7,30.34,0.81
2025-05-28,SC01,L1,WASH-B,164,1,1,47.02,0.858
2025-05-29,SC01,L1,WASH-B,200,1,2,57.3,0.888
2025-05-30,SC01,L1,WASH-B,176,1,0,46.55,0.8
2025-05-31,SC01,L1,WASH-B,97,0,4,20.71,0.687
2025-06-01,SC01,L1,WASH-B,161,0,2,34.12,0.748
2025-06-02,SC01,L1,WASH-B,204,4,2,37.65,0.714
2025-06-03,SC01,L1,WASH-B,188,0,2,27.58,0.752
2025-06-04,SC01,L1,WASH-B,198,1,2,23.57,0.836
2025-06-05,SC01,L1,WASH-B,214,2,3,42.57,0.741
2025-06-06,SC01,L1,WASH-B,183,0,5,50.69,0.862
2025-06-07,SC01,L1,WASH-B,129,1,4,35.15,0.774
2025-06-08,SC01,L1,WASH-B,136,0,2,36.64,0.809
2025-06-09,SC01,L1,WASH-B,184,0,5,53.33,0.887
2025-06-10,SC01,L1,WASH-B,197,0,4,54.01,0.77
2025-06-11,SC01,L1,WASH-B,211,1,5,53.98,0.667
2025-06-12,SC01,L1,WASH-B,169,2,2,56.64,0.843
2025-06-13,SC01,L1,WASH-B,169,1,4,41.61,0.852
2025-06-14,SC01,L1,WASH-B,158,0,3,34.3,0.781
2025-06-15,SC01,L1,WASH-B,136,0,1,36.58,0.787
2025-06-16,SC01,L1,WASH-B,203,0,5,43.42,0.702
2025-06-17,SC01,L1,WASH-B,237,0,4,44.44,0.799
2025-06-18,SC01,L1,WASH-B,199,1,3,30.95,0.811
2025-06-19,SC01,L1,WASH-B,184,2,4,21.49,0.838
2025-06-20,SC01,L1,WASH-B,190,2,7,32.97,0.739
2025-06-21,SC01,L1,WASH-B,131,1,3,47.82,0.686
2025-06-22,SC01,L1,WASH-B,150,1,1,36.38,0.674
2025-06-23,SC01,L1,WASH-B,146,1,6,44.67,0.9
2025-06-24,SC01,L1,WASH-B,176,0,2,46.17,0.901
2025-06-25,SC01,L1,WASH-B,213,2,3,51.32,0.815
2025-06-26,SC01,L1,WASH-B,190,0,5,47.88,0.804
2025-06-27,SC01,L1,WASH-B,213,0,2,20.21,0.758
2025-06-28,SC01,L1,WASH-B,125,0,4,29.67,0.691
2025-06-29,SC01,L1,WASH-B,116,1,2,32.49,0.609
2025-06-30,SC01,L1,WASH-B,179,0,5,51.7,0.822
2025-04-01,SC01,L2,FRDG-A,291,1,6,36.88,0.831
2025-04-02,SC01,L2,FRDG-A,313,3,5,26.42,0.883
2025-04-03,SC01,L2,FRDG-A,275,2,10,36.08,0.814
2025-04-04,SC01,L2,FRDG-A,319,3,7,54.92,0.839
2025-04-05,SC01,L2,FRDG-A,171,1,8,25.82,0.658
2025-04-06,SC01,L2,FRDG-A,214,1,6,51.98,0.64
2025-04-07,SC01,L2,FRDG-A,319,3,9,23.25,0.783
2025-04-08,SC01,L2,FRDG-A,313,1,5,57.44,0.863
2025-04-09,SC01,L2,FRDG-A,264,1,4,41.55,0.833
2025-04-10,SC01,L2,FRDG-A,266,2,5,47.75,0.906
2025-04-11,SC01,L2,FRDG-A,275,0,2,40.49,0.786
2025-04-12,SC01,L2,FRDG-A,185,0,10,47.71,0.599
2025-04-13,SC01,L2,FRDG-A,172,0,2,22.05,0.774
2025-04-14,SC01,L2,FRDG-A,306,0,7,57.46,0.875
2025-04-15,SC01,L2,FRDG-A,304,2,4,24.45,0.906
2025-04-16,SC01,L2,FRDG-A,273,1,4,49.16,0.934
2025-04-17,SC01,L2,FRDG-A,265,1,4,55.11,0.986
2025-04-18,SC01,L2,FRDG-A,204,1,4,21.48,0.789
2025-04-19,SC01,L2,FRDG-A,214,2,5,22.79,0.819
2025-04-20,SC01,L2,FRDG-A,185,2,2,52.6,0.698
2025-04-21,SC01,L2,FRDG-A,263,0,5,29.14,0.833
2025-04-22,SC01,L2,FRDG-A,268,0,6,29.73,0.784
2025-04-23,SC01,L2,FRDG-A,272,1,5,23.36,0.909
2025-04-24,SC01,L2,FRDG-A,328,0,8,47.01,0.855
2025-04-25,SC01,L2,FRDG-A,269,2,5,51.69,0.807
2025-04-26,SC01,L2,FRDG-A,188,2,3,20.67,0.687
2025-04-27,SC01,L2,FRDG-A,224,0,3,38.51,0.743
2025-04-28,SC01,L2,FRDG-A,272,1,9,51.57,0.746
2025-04-29,SC01,L2,FRDG-A,261,0,2,21.55,0.803
2025-04-30,SC01,L2,FRDG-A,277,0,3,26.17,0.828
2025-05-01,SC01,L2,FRDG-A,305,3,5,29.53,0.814
2025-05-02,SC01,L2,FRDG-A,273,1,4,50.26,0.74
2025-05-03,SC01,L2,FRDG-A,180,1,8,25.36,0.819
2025-05-04,SC01,L2,FRDG-A,178,1,5,43.23,0.695
2025-05-05,SC01,L2,FRDG-A,284,0,3,44.34,0.78
2025-05-06,SC01,L2,FRDG-A,298,2,7,33.2,0.874
2025-05-07,SC01,L2,FRDG-A,299,2,1,57.68,0.801
2025-05-08,SC01,L2,FRDG-A,271,0,5,58.08,0.738
